2020-04-19 18:04:212 INFO  OpenAccountPage :33 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //select[@id='userSelect']]
2020-04-19 18:04:565 INFO  OpenAccountPage :39 - selecting currency : Pound[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //select[@id='currency']]
2020-04-19 18:04:982 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:117 INFO  HomePage :42 - clicking on customer login button : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-19 18:04:519 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> id: userSelect]
2020-04-19 18:04:670 INFO  CustomerLoginPage :38 - clicking on  login button : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:126 INFO  AccountPage :45 - clicking on logout button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn logout']'
2020-04-19 18:04:308 INFO  BankManagerLoginPage :56 - clicking on home tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:479 INFO  HomePage :42 - clicking on customer login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-19 18:04:737 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> id: userSelect]
2020-04-19 18:04:964 INFO  CustomerLoginPage :38 - clicking on  login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-19 18:04:209 INFO  AccountPage :66 - clicking on deposit tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-19 18:04:985 INFO  AccountPage :78 - entering amount in the amount field : 100[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //input[@placeholder='amount']]
2020-04-19 18:04:181 INFO  AccountPage :84 - clicking on depositwithdrawl button [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:228 INFO  AccountPage :89 - Getting error message : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //span[@class='error ng-binding']]
2020-04-19 18:04:460 INFO  AccountPage :96 - clicking on home button tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn home']]
2020-04-19 18:04:670 INFO  HomePage :42 - clicking on customer login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-19 18:04:956 INFO  CustomerLoginPage :32 - selecting customer name : Tiger Foster[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> id: userSelect]
2020-04-19 18:04:166 INFO  CustomerLoginPage :38 - clicking on  login button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-19 18:04:295 INFO  AccountPage :72 - clicking on withdrawl tab : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[contains(text(),'Withdrawl')]]
2020-04-19 18:04:879 INFO  AccountPage :78 - entering amount in the amount field : 50[[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //input[@placeholder='amount']]
2020-04-19 18:04:144 INFO  AccountPage :84 - clicking on depositwithdrawl button [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //button[@class='btn btn-default']]
2020-04-19 18:04:180 INFO  AccountPage :89 - Getting error message : [[ChromeDriver: chrome on WINDOWS (0b94ddcf9cfa0af001c65213b04b538d)] -> xpath: //span[@class='error ng-binding']]
